Final Model,Variable,Class,Coefficient,WOE,Score Points,Count,Good Count,Bad Count,Bad Rate,IV
Intercept,Intercept,N.A.,-1.3905617297535031,,484.2114208338998,,,,,
loan_to_income,loan_to_income,"(-inf, 0.06)",-0.45206620905446404,0.5950704609230559,19.40505962762938,40900.0,35958.0,4942.0,0.12083129584352079,0.014738605220320512
loan_to_income,loan_to_income,"[0.06, 0.08)",-0.45206620905446404,0.4807754113381777,15.67793418958113,50214.0,43510.0,6704.0,0.13350858326363166,0.012263153881338508
loan_to_income,loan_to_income,"[0.08, 0.12)",-0.45206620905446404,0.4136766769231901,13.48986567036478,86206.0,74011.0,12195.0,0.1414634712201007,0.015930699089169886
loan_to_income,loan_to_income,"[0.12, 0.14)",-0.45206620905446404,0.3161036963021451,10.308041615344635,75026.0,63492.0,11534.0,0.15373337243089064,0.008354043255799087
loan_to_income,loan_to_income,"[0.14, 0.17)",-0.45206620905446404,0.24348537141258264,7.939980995506995,58989.0,49349.0,9640.0,0.16342029869975758,0.003988202213447907
loan_to_income,loan_to_income,"[0.17, 0.19)",-0.45206620905446404,0.16819222758320707,5.484695375558154,60330.0,49834.0,10496.0,0.17397646278799933,0.001992874111739309
loan_to_income,loan_to_income,"[0.19, 0.20)",-0.45206620905446404,0.10268817617654813,3.348628965160622,47769.0,38999.0,8770.0,0.183591869203877,0.0006002603657969555
loan_to_income,loan_to_income,"[0.20, 0.23)",-0.45206620905446404,0.030026999255476694,0.9791709541210947,61489.0,49515.0,11974.0,0.19473401746653873,6.754755858623058e-05
loan_to_income,loan_to_income,"[0.23, 0.25)",-0.45206620905446404,-0.04669943827966749,-1.5228539205055924,45970.0,36452.0,9518.0,0.2070480748314118,0.00012499071826101851
loan_to_income,loan_to_income,"[0.25, 0.27)",-0.45206620905446404,-0.13048367741816214,-4.255031474431047,47802.0,37231.0,10571.0,0.22114137483787288,0.0010399495495468972
loan_to_income,loan_to_income,"[0.27, 0.30)",-0.45206620905446404,-0.21065193903332435,-6.869293144339018,51263.0,39203.0,12060.0,0.23525739812340285,0.002974050685663632
loan_to_income,loan_to_income,"[0.30, 0.33)",-0.45206620905446404,-0.345685818386793,-11.272705265551648,61368.0,45387.0,15981.0,0.2604125928822839,0.00995113341365844
loan_to_income,loan_to_income,"[0.33, 0.40)",-0.45206620905446404,-0.500012807337049,-16.305259592121462,66920.0,47432.0,19488.0,0.29121338912133893,0.023630766651823232
loan_to_income,loan_to_income,"[0.40, inf)",-0.45206620905446404,-0.5938530215696427,-19.36535931514981,59105.0,40726.0,18379.0,0.31095507994247523,0.030123066848126153
loan_to_income,loan_to_income,Special,-0.45206620905446404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loan_to_income,loan_to_income,Missing,-0.45206620905446404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loan_to_income,loan_to_income,,-0.45206620905446404,,,813351.0,651099.0,162252.0,0.1994858308405596,0.12577934356327777
dti,dti,"(-inf, 7.43)",-0.39906042140683523,0.43223835894447715,12.442467235403019,67869.0,58420.0,9449.0,0.13922409347419293,0.013610601608203
dti,dti,"[7.43, 10.10)",-0.39906042140683523,0.35960900108603067,10.351749494180602,62494.0,53235.0,9259.0,0.14815822318942617,0.00888097846715613
dti,dti,"[10.10, 12.36)",-0.39906042140683523,0.28192324481562037,8.115477638502359,69385.0,58406.0,10979.0,0.15823304748865027,0.006212846901124017
dti,dti,"[12.36, 13.78)",-0.39906042140683523,0.21778911342949825,6.269304544583682,48801.0,40653.0,8148.0,0.1669637917255794,0.0026612371289428086
dti,dti,"[13.78, 15.22)",-0.39906042140683523,0.17065539217902037,4.912507374212638,51825.0,42827.0,8998.0,0.1736227689339122,0.0017610844529728515
dti,dti,"[15.22, 17.13)",-0.39906042140683523,0.11666787790939392,3.358416064359763,69838.0,57162.0,12676.0,0.18150577049743694,0.001127911838214616
dti,dti,"[17.13, 19.23)",-0.39906042140683523,0.045648506294975855,1.3140435876800212,75935.0,61333.0,14602.0,0.19229604266807138,0.0001918781760523427
dti,dti,"[19.23, 21.05)",-0.39906042140683523,-0.018465655597314612,-0.5315546619020383,61689.0,49200.0,12489.0,0.20245100423090015,2.600539611760092e-05
dti,dti,"[21.05, 22.68)",-0.39906042140683523,-0.08866957898519767,-2.552453544369535,51200.0,40242.0,10958.0,0.2140234375,0.0005081342153536352
dti,dti,"[22.68, 25.39)",-0.39906042140683523,-0.15330030757028834,-4.412921747108372,75581.0,58568.0,17013.0,0.22509625434963815,0.002284616652148589
dti,dti,"[25.39, 27.15)",-0.39906042140683523,-0.2397930740220766,-6.902713294771502,42101.0,31974.0,10127.0,0.24054060473622954,0.0031910501466656683
dti,dti,"[27.15, 30.02)",-0.39906042140683523,-0.3033562265284502,-8.732450119542925,56657.0,42360.0,14297.0,0.25234304675503466,0.006994419729087561
